site_no,station_nm,dec_lat_va,dec_long_va,huc_cd,tz_cd,flow,flow_unit,flow_dt,stage,stage_unit,stage_dt,class,percentile,percent_median,percent_mean,url
01010000,"St. John River at Ninemile Bridge, Maine",46.7006,-69.7156,01010001,EST,Ice,cfs,"2019-04-10 08:00:00",7.28,ft,"2019-04-10 08:00:00",0,94.27,672,360.68,https://waterdata.usgs.gov/me/nwis/uv?site_no=01010000
01010070,"Big Black River near Depot Mtn, Maine",46.8939,-69.7517,01010001,EST,Ice,cfs,"2019-04-10 08:00:00",7.01,ft,"2019-04-10 08:00:00",0,69.75,172.96,130.54,https://waterdata.usgs.gov/me/nwis/uv?site_no=01010070
01010500,"St. John River at Dickey, Maine",47.1131,-69.0881,01010001,EST,Ice,cfs,"2019-04-10 07:30:00",25.02,ft,"2019-04-10 08:00:00",0,95.53,653.31,366.47,https://waterdata.usgs.gov/me/nwis/uv?site_no=01010500
01011000,"Allagash River near Allagash, Maine",47.0697,-69.0794,01010002,EST,Eqp,cfs,"2019-04-10 08:30:00",Eqp,ft,"2019-04-10 08:30:00",0,98.85,944.88,557.36,https://waterdata.usgs.gov/me/nwis/uv?site_no=01011000
01011500,"St. Francis River near Connors, New Brunswick",47.207,-68.9564,01010001,EST,1080,cfs,"2019-04-10 08:00:00",4.37,ft,"2019-04-10 08:00:00",5,63.23,154.51,87.02,https://waterdata.usgs.gov/nwis/uv?site_no=01011500
01013500,"Fish River near Fort Kent, Maine",47.2375,-68.5828,01010003,EST,Ice,cfs,"2019-04-10 08:45:00",4.9,ft,"2019-04-10 08:45:00",0,58.31,134.31,85.4,https://waterdata.usgs.gov/me/nwis/uv?site_no=01013500
01014000,"St. John River below Fish R, nr Fort Kent, Maine",47.2833,-68.5853,01010001,EST,Ice,cfs,"2019-04-10 08:45:00",12.88,ft,"2019-04-10 08:45:00",0,91.25,474.4,276.04,https://waterdata.usgs.gov/me/nwis/uv?site_no=01014000
01015800,"Aroostook River near Masardis, Maine",46.5231,-68.3717,01010004,EST,Ice,cfs,"2019-04-10 08:15:00",9.51,ft,"2019-04-10 08:15:00",0,81.55,240.93,183.88,https://waterdata.usgs.gov/me/nwis/uv?site_no=01015800
01017000,"Aroostook River at Washburn, Maine",46.7772,-68.1572,01010004,EST,Ice,cfs,"2019-04-10 08:45:00",12.48,ft,"2019-04-10 08:45:00",0,98.86,958.02,655.17,https://waterdata.usgs.gov/me/nwis/uv?site_no=01017000
01017060,"Hardwood Brook below Glidden Brk nr Caribou, Maine",46.7836,-67.9892,01010004,EST,Ice,cfs,"2019-04-10 08:20:00",1.77,ft,"2019-04-10 08:20:00",0,18.8,54.07,46.03,https://waterdata.usgs.gov/me/nwis/uv?site_no=01017060
