site_no,station_nm,dec_lat_va,dec_long_va,huc_cd,flow,flow_dt,flow_unit,flow_nday,class,percentile,percent_median,percent_mean
01010000,"St. John River at Ninemile Bridge, Maine",46.7006,-69.7156,01010001,,,,,0,,,
01010070,"Big Black River near Depot Mtn, Maine",46.8939,-69.7517,01010001,,,,,0,,,
01010500,"St. John River at Dickey, Maine",47.1131,-69.0881,01010001,,,,,0,,,
01011000,"Allagash River near Allagash, Maine",47.0697,-69.0794,01010002,,,,,0,,,
01011500,"St. Francis River near Connors, New Brun",47.207,-68.9564,01010001,262.57,2019-02-28,cfs,7,5,65.51,131.66,90.56
01013500,"Fish River near Fort Kent, Maine",47.2375,-68.5828,01010003,,,,,0,,,
01014000,"St. John River below Fish R, nr Fort Ken",47.2833,-68.5853,01010001,3344.29,2019-02-28,cfs,7,6,82.71,173.15,125.94
01015800,"Aroostook River near Masardis, Maine",46.5231,-68.3717,01010004,,,,,0,,,
01017000,"Aroostook River at Washburn, Maine",46.7772,-68.1572,01010004,,,,,0,,,
01017060,"Hardwood Brook below Glidden Brk nr Cari",46.7836,-67.9892,01010004,,,,,0,,,
01017290,"Little Madawaska River at Caribou, Maine",46.8886,-67.945,01010004,,,,,0,,,
01017550,"Williams Brook at Phair, Maine",46.6281,-67.9531,01010005,,,,,0,,,
01017960,"Meduxnekeag R above S Br Medux. R nr Hou",46.105,-67.8814,01010005,70.7,2019-02-28,cfs,7,0,62.6,111.25,81.03
01018009,"Pearce Brook at Route 1 at Houlton, Main",46.1153,-67.8403,01010005,,,,,0,,,
01018035,"Meduxnekeag River at Lowery Rd. nr Hoult",46.1811,-67.8039,01010005,288,2019-02-28,cfs,7,0,68.12,167.37,93.64
01018500,"St. Croix River at Vanceboro, Maine",45.5683,-67.4283,01050001,802.29,2019-02-28,cfs,7,5,47.6,96.07,91.23
01019000,"Grand Lake Stream at Grand Lake Stream, ",45.1725,-67.7689,01050001,576,2019-02-28,cfs,7,5,65.02,132.07,112.17
01021000,"St. Croix River at Baring, Maine",45.1369,-67.3181,01050001,2611.43,2019-02-28,cfs,7,5,57.07,110.02,100.27
01021470,"Libby Brook near Northfield, Maine",44.8008,-67.725,01050002,,,,,0,,,
01021480,"Old Stream near Wesley, Maine",44.9369,-67.7361,01050002,,,,,0,,,
01022500,"Narraguagus River at Cherryfield, Maine",44.6081,-67.9353,01050002,330,2019-02-28,cfs,7,5,47.94,97.94,66.91
01022840,"Otter Creek near Bar Harbor, Maine",44.3328,-68.2067,01050002,,,,,0,,,
01027200,"North Branch Penobscot River nr Pittston",45.9353,-69.9936,01020001,,,,,0,,,
01027240,"S. Br. Penobscot River nr Canada Falls L",45.8739,-69.995,01020001,,,,,0,,,
01029200,"Seboeis River near Shin Pond, Maine",46.1431,-68.6336,01020002,,,,,0,,,
01029500,"East Branch Penobscot River at Grindston",45.7303,-68.5894,01020002,,,,,0,,,
01030350,"Wytopitlock Stream near Wytopitlock Main",45.7086,-68.1581,01020003,,,,,0,,,
01030500,"Mattawamkeag River near Mattawamkeag, Ma",45.5011,-68.3058,01020003,1325.71,2019-02-28,cfs,7,6,75.68,157.96,106.72
01031300,"Piscataquis River at Blanchard, Maine",45.2672,-69.5839,01020004,,,,,0,,,
01031450,"Kingsbury Stream at Abbot Village, Maine",45.1844,-69.4522,01020004,,,,,0,,,
01031500,"Piscataquis River near Dover-Foxcroft, M",45.175,-69.3147,01020004,286.29,2019-02-28,cfs,7,5,70.93,153.21,96.22
01031510,"Black Stream near Dover-Foxcroft, Maine",45.1503,-69.2364,01020004,,,,,0,,,
01034000,"Piscataquis River at Medford, Maine",45.2606,-68.8686,01020004,,,,,0,,,
01034500,"Penobscot River at West Enfield, Maine",45.2361,-68.6514,01020005,,,,,0,,,
01037000,"Kenduskeag Stream near Bangor, Maine",44.8611,-68.8317,01020005,,,,,0,,,
01037380,"Ducktrap River near Lincolnville, Maine",44.3292,-69.0608,01050002,,,,,0,,,
01038000,"Sheepscot River at North Whitefield, Mai",44.2228,-69.5939,01050003,165.5,2019-02-28,cfs,4,5,46.2,96.06,65.16
01042500,"Kennebec River at The Forks, Maine",45.3397,-69.9619,01030002,5284.29,2019-02-28,cfs,7,7,96.49,192.16,193.12
01043500,"Dead River near Dead River, Maine",45.229,-70.2011,01030002,1678.57,2019-02-28,cfs,7,6,87.96,367.76,242.2
01044550,"Spencer Stream near Grand Falls, Maine",45.3136,-70.2417,01030002,,,,,0,,,
01046000,"Austin Stream at Bingham, Maine",45.0644,-69.8806,01030003,,,,,0,,,
01046500,"Kennebec River at Bingham, Maine",45.0519,-69.8856,01030003,7304,2019-02-28,cfs,5,7,93.61,192.5,172.17
01047000,"Carrabassett River near North Anson, Mai",44.8692,-69.955,01030003,531.14,2019-02-28,cfs,7,6,86.3,221.96,149.06
01047150,"Kennebec River near Madison, Maine",44.7789,-69.8869,01030003,8328.57,2019-02-28,cfs,7,0,74.24,139.98,130.72
01047200,"Sandy River near Madrid, Maine",44.8578,-70.4853,01030003,,,,,0,,,
01048000,"Sandy River near Mercer, Maine",44.7081,-69.9375,01030003,,,,,0,,,
01048220,"East Branch Wesserunsett Stream near Ath",44.9475,-69.6569,01030003,,,,,0,,,
01049265,"Kennebec River at North Sidney, Maine",44.4722,-69.6839,01030003,,,,,0,,,
01049500,"Cobbosseecontee Stream at Gardiner, Main",44.2292,-69.7781,01030003,402.14,2019-02-28,cfs,7,6,80.27,154.46,120.75
01052500,"Diamond River near Wentworth Location, N",44.8775,-71.0575,01040001,186.57,2019-02-28,cfs,7,6,79.4,203.1,101.51
01053500,"Androscoggin River at Errol, NH",44.7825,-71.1286,01040001,3994.29,2019-02-28,cfs,7,7,98.48,206.88,202.29
01053600,"Androscoggin River below Bog Brook at Ca",44.6661,-71.1814,01040001,4038.57,2019-02-28,cfs,7,0,90.91,146.74,154.67
01054000,"Androscoggin River near Gorham, NH",44.4358,-71.1903,01040001,4251.43,2019-02-28,cfs,7,7,96.02,194.38,182.11
01054114,"Peabody River at Gorham, New Hampshire",44.3813,-71.1707,01040001,,,,,0,,,
01054200,"Wild River at Gilead, Maine",44.3906,-70.9797,01040002,,,,,0,,,
01054300,"Ellis River at South Andover, Maine",44.5933,-70.7331,01040002,163,2019-02-28,cfs,7,6,80.94,194.05,114.88
01054500,"Androscoggin River at Rumford, Maine",44.5519,-70.5442,01040002,4910,2019-02-28,cfs,7,7,94.3,182.77,163.32
01055000,"Swift River near Roxbury, Maine",44.6428,-70.5889,01040002,,,,,0,,,
01055500,"Nezinscot River at Turner Center, Maine",44.2694,-70.2297,01040002,,,,,0,,,
01057000,"Little Androscoggin River near South Par",44.3039,-70.5397,01040002,71.44,2019-02-28,cfs,7,5,61.35,112.38,71.18
01059000,"Androscoggin River near Auburn, Maine",44.0722,-70.2081,01040002,5907.14,2019-02-28,cfs,7,6,82.56,141.56,121.71
01063310,"Stony Brook at East Sebago, Maine",43.8556,-70.6397,01060001,1.58,2019-02-28,cfs,7,0,59,121.54,65.83
01064118,"Presumpscot River at Westbrook, Maine",43.6869,-70.3472,01060001,1003.57,2019-02-28,cfs,7,0,48.21,96.54,91.28
01064500,"Saco River near Conway, NH",43.9908,-71.0906,01060002,,,,,0,,,
01064801,"BEARCAMP RIVER AT SOUTH TAMWORTH, NH",43.8301,-71.2878,01060002,,,,,0,,,
01066000,"Saco River at Cornish, Maine",43.8081,-70.7817,01060002,2622.86,2019-02-28,cfs,7,6,79.11,161.19,130.06
01067950,"Kennebunk River near Kennebunk, Maine",43.4322,-70.5533,01060003,,,,,0,,,
01068910,"Mousam River at Route 4 near Sanford, Ma",43.4183,-70.7381,01060003,110.58,2019-02-28,cfs,4,0,66.81,115.78,81.81
01069500,"Mousam River near West Kennebunk, Maine",43.4183,-70.6583,01060003,194.57,2019-02-28,cfs,7,5,56.28,108.72,82.93
01069700,"Branch Brook near Kennebunk, Maine",43.3792,-70.5833,01060003,,,,,0,,,
01072800,"COCHECO RIVER NEAR ROCHESTER, NH.",43.2684,-70.9737,01060003,,,,,0,,,
01072870,"ISINGLASS R AT ROCHESTER NECK RD, NR DOV",43.2348,-70.9565,01060003,,,,,0,,,
01073000,"OYSTER RIVER NEAR DURHAM, NH",43.1487,-70.9651,01060003,24.43,2019-02-28,cfs,6,5,58.78,135.72,77.09
01073319,"LAMPREY RIVER AT LANGFORD ROAD, AT RAYMO",43.0414,-71.2017,01060003,,,,,0,,,
01073500,"LAMPREY RIVER NEAR NEWMARKET, NH",43.1026,-70.9526,01060003,315.86,2019-02-28,cfs,7,5,57.1,107.28,80.3
