site_no,station_nm,dec_lat_va,dec_long_va,huc_cd,tz_cd,flow,flow_unit,flow_dt,stage,stage_unit,stage_dt,class,percentile,percent_median,percent_mean,url
01010000,"St. John River at Ninemile Bridge, Maine",46.7006,-69.7156,01010001,EST,Ice,cfs,"2019-04-09 08:00:00",7.51,ft,"2019-04-09 08:00:00",0,97.92,917.95,416.35,https://waterdata.usgs.gov/me/nwis/uv?site_no=01010000
01010070,"Big Black River near Depot Mtn, Maine",46.8939,-69.7517,01010001,EST,Ice,cfs,"2019-04-09 08:00:00",7.2,ft,"2019-04-09 08:00:00",0,74.03,201.93,154.47,https://waterdata.usgs.gov/me/nwis/uv?site_no=01010070
01010500,"St. John River at Dickey, Maine",47.1131,-69.0881,01010001,EST,Ice,cfs,"2019-04-09 08:00:00",8.63,ft,"2019-04-09 08:00:00",0,81.67,320.51,181.77,https://waterdata.usgs.gov/me/nwis/uv?site_no=01010500
01011000,"Allagash River near Allagash, Maine",47.0697,-69.0794,01010002,EST,Ice,cfs,"2019-04-09 08:00:00",6.98,ft,"2019-04-09 08:00:00",0,92.19,516.13,286.98,https://waterdata.usgs.gov/me/nwis/uv?site_no=01011000
01011500,"St. Francis River near Connors, New Brunswick",47.207,-68.9564,01010001,EST,1110,cfs,"2019-04-09 08:00:00",4.41,ft,"2019-04-09 08:00:00",5,64.24,165.92,92.54,https://waterdata.usgs.gov/nwis/uv?site_no=01011500
01013500,"Fish River near Fort Kent, Maine",47.2375,-68.5828,01010003,EST,Ice,cfs,"2019-04-09 08:45:00",4.86,ft,"2019-04-09 08:45:00",0,59.97,133.33,87.14,https://waterdata.usgs.gov/me/nwis/uv?site_no=01013500
01014000,"St. John River below Fish R, nr Fort Kent, Maine",47.2833,-68.5853,01010001,EST,Ice,cfs,"2019-04-09 08:45:00",13.28,ft,"2019-04-09 08:45:00",0,92.84,531.74,311.8,https://waterdata.usgs.gov/me/nwis/uv?site_no=01014000
01015800,"Aroostook River near Masardis, Maine",46.5231,-68.3717,01010004,EST,Ice,cfs,"2019-04-09 08:15:00",9.74,ft,"2019-04-09 08:15:00",0,84.96,312.59,204.47,https://waterdata.usgs.gov/me/nwis/uv?site_no=01015800
01017000,"Aroostook River at Washburn, Maine",46.7772,-68.1572,01010004,EST,Ice,cfs,"2019-04-09 08:45:00",12.72,ft,"2019-04-09 08:45:00",0,98.86,1138.03,712.36,https://waterdata.usgs.gov/me/nwis/uv?site_no=01017000
01017060,"Hardwood Brook below Glidden Brk nr Caribou, Maine",46.7836,-67.9892,01010004,EST,Ice,cfs,"2019-04-09 08:20:00",1.81,ft,"2019-04-09 08:20:00",0,60.26,110.84,61.17,https://waterdata.usgs.gov/me/nwis/uv?site_no=01017060
01017290,"Little Madawaska River at Caribou, Maine",46.8886,-67.945,01010004,EST,Ice,cfs,"2019-04-09 08:30:00",4.95,ft,"2019-04-09 08:30:00",0,52.15,139.11,57.72,https://waterdata.usgs.gov/me/nwis/uv?site_no=01017290
01017550,"Williams Brook at Phair, Maine",46.6281,-67.9531,01010005,EST,Ice,cfs,"2019-04-09 08:45:00",1.94,ft,"2019-04-09 08:45:00",0,59.76,124.68,77.34,https://waterdata.usgs.gov/me/nwis/uv?site_no=01017550
