site_no,station_nm,dec_lat_va,dec_long_va,huc_cd,tz_cd,flow,flow_unit,flow_dt,stage,stage_unit,stage_dt,class,percentile,percent_median,percent_mean,url
01010000,"St. John River at Ninemile Bridge, Maine",46.7006,-69.7156,01010001,EST,Ice,cfs,"2021-02-12 14:00:00",2.77,ft,"2021-02-12 14:00:00",0,96.03,492.86,336.61,https://waterdata.usgs.gov/monitoring-location/01010000
01010070,"Big Black River near Depot Mtn, Maine",46.8939,-69.7517,01010001,EST,Ice,cfs,"2021-02-12 14:00:00",4.65,ft,"2021-02-12 14:00:00",0,96.34,446.49,377.92,https://waterdata.usgs.gov/monitoring-location/01010070
01010500,"St. John River at Dickey, Maine",47.1131,-69.0881,01010001,EST,Ice,cfs,"2021-02-12 14:00:00",6.74,ft,"2021-02-12 14:00:00",0,98.65,834.07,663.67,https://waterdata.usgs.gov/monitoring-location/01010500
01011000,"Allagash River near Allagash, Maine",47.0697,-69.0794,01010002,EST,Ice,cfs,"2021-02-12 14:00:00",5.23,ft,"2021-02-12 14:00:00",0,98.88,938.49,762.96,https://waterdata.usgs.gov/monitoring-location/01011000
01011500,"St. Francis River near Connors, New Brunswick",47.207,-68.9564,01010001,EST,317,cfs,"2021-02-12 14:00:00",2.92,ft,"2021-02-12 14:00:00",5,70,142.79,111.72,https://waterdata.usgs.gov/monitoring-location/01011500
01013500,"Fish River near Fort Kent, Maine",47.2375,-68.5828,01010003,EST,Ice,cfs,"2021-02-12 14:45:00",4.64,ft,"2021-02-12 14:45:00",0,95.52,325.53,272.66,https://waterdata.usgs.gov/monitoring-location/01013500
01014000,"St. John River below Fish R, nr Fort Kent, Maine",47.2833,-68.5853,01010001,EST,Ice,cfs,"2021-02-12 14:30:00",6.97,ft,"2021-02-12 14:30:00",0,98.94,502.26,424.26,https://waterdata.usgs.gov/monitoring-location/01014000
01015800,"Aroostook River near Masardis, Maine",46.5231,-68.3717,01010004,EST,Ice,cfs,"2021-02-12 14:15:00",4.34,ft,"2021-02-12 14:15:00",0,83.08,195.02,150.35,https://waterdata.usgs.gov/monitoring-location/01015800
01017000,"Aroostook River at Washburn, Maine",46.7772,-68.1572,01010004,EST,Ice,cfs,"2021-02-12 14:00:00",6.09,ft,"2021-02-12 14:00:00",0,98.89,955.06,769.25,https://waterdata.usgs.gov/monitoring-location/01017000
01017060,"Hardwood Brook below Glidden Brk nr Caribou, Maine",46.7836,-67.9892,01010004,EST,Ice,cfs,"2021-02-12 14:20:00",1.32,ft,"2021-02-12 14:20:00",0,13.71,76.34,75.28,https://waterdata.usgs.gov/monitoring-location/01017060
01017290,"Little Madawaska River at Caribou, Maine",46.8886,-67.945,01010004,EST,Ice,cfs,"2021-02-12 14:30:00",3.86,ft,"2021-02-12 14:30:00",0,91.67,167.52,167.29,https://waterdata.usgs.gov/monitoring-location/01017290
01017550,"Williams Brook at Phair, Maine",46.6281,-67.9531,01010005,EST,Ice,cfs,"2021-02-12 14:45:00",1.49,ft,"2021-02-12 14:45:00",0,80.66,138.66,136.93,https://waterdata.usgs.gov/monitoring-location/01017550
01017960,"Meduxnekeag R above S Br Medux. R nr Houlton, ME",46.105,-67.8814,01010005,EST,Ice,cfs,"2021-02-12 14:45:00",3.3,ft,"2021-02-12 14:45:00",0,70.09,129.9,115.35,https://waterdata.usgs.gov/monitoring-location/01017960
01018009,"Pearce Brook at Route 1 at Houlton, Maine",46.1153,-67.8403,01010005,EST,Ice,cfs,"2021-02-12 14:30:00",1.99,ft,"2021-02-12 14:30:00",0,53.21,102.04,89.29,https://waterdata.usgs.gov/monitoring-location/01018009
01018035,"Meduxnekeag River at Lowery Rd. nr Houlton, Maine",46.1811,-67.8039,01010005,EST,Ice,cfs,"2021-02-12 14:45:00",2.66,ft,"2021-02-12 14:45:00",0,65.54,126.37,112.85,https://waterdata.usgs.gov/monitoring-location/01018035
01018500,"St. Croix River at Vanceboro, Maine",45.5683,-67.4283,01050001,EST,831,cfs,"2021-02-12 14:15:00",5.31,ft,"2021-02-12 14:15:00",5,50.11,100.12,92.64,https://waterdata.usgs.gov/monitoring-location/01018500
01018900,"West Grand Lake at Grand Lake Stream, Maine",45.1811,-67.7781,01050001,EST,0,,"0000-00-00 00:00:00",298.24,ft,"2021-02-12 14:00:00",0,0,,,https://waterdata.usgs.gov/monitoring-location/01018900
01019000,"Grand Lake Stream at Grand Lake Stream, Maine",45.1725,-67.7689,01050001,EST,182,cfs,"2021-02-12 14:00:00",2.01,ft,"2021-02-12 14:00:00",4,20.61,49.86,39.07,https://waterdata.usgs.gov/monitoring-location/01019000
01019300,"Lewy Lake at Princeton, Maine",45.2257,-67.577,01050001,EST,0,,"0000-00-00 00:00:00",201.29,ft,"2021-02-12 14:45:00",0,0,,,https://waterdata.usgs.gov/monitoring-location/01019300
01021000,"St. Croix River at Baring, Maine",45.1369,-67.3181,01050001,EST,1690,cfs,"2021-02-12 14:15:00",5.5,ft,"2021-02-12 14:15:00",5,26.43,73.8,67.02,https://waterdata.usgs.gov/monitoring-location/01021000
01021060,"St. Croix River at Calais, Maine",45.1917,-67.2834,01050001,EST,0,,"0000-00-00 00:00:00",4.34,ft,"2021-02-12 14:00:00",0,0,,,https://waterdata.usgs.gov/monitoring-location/01021060
01021470,"Libby Brook near Northfield, Maine",44.8008,-67.725,01050002,EST,Ssn,cfs,"2021-02-12 14:30:00",Ssn,ft,"2021-02-12 14:30:00",0,92.42,233,214.94,https://waterdata.usgs.gov/monitoring-location/01021470
01021480,"Old Stream near Wesley, Maine",44.9369,-67.7361,01050002,EST,Ice,cfs,"2021-02-12 14:30:00",4.03,ft,"2021-02-12 14:30:00",0,55.18,101.25,77.94,https://waterdata.usgs.gov/monitoring-location/01021480
01022500,"Narraguagus River at Cherryfield, Maine",44.6081,-67.9353,01050002,EST,Ice,cfs,"2021-02-12 14:00:00",8.09,ft,"2021-02-12 14:00:00",0,17.38,61.62,41.88,https://waterdata.usgs.gov/monitoring-location/01022500
01022840,"Otter Creek near Bar Harbor, Maine",44.3328,-68.2067,01050002,EST,Ice,cfs,"2021-02-12 14:05:00",1.65,ft,"2021-02-12 14:05:00",0,24.75,52.29,23.81,https://waterdata.usgs.gov/monitoring-location/01022840
01027200,"North Branch Penobscot River nr Pittston Farm, ME",45.9353,-69.9936,01020001,EST,Ice,cfs,"2021-02-12 14:45:00",4.17,ft,"2021-02-12 14:45:00",0,47.83,96.86,84.16,https://waterdata.usgs.gov/monitoring-location/01027200
01027240,"S. Br. Penobscot River nr Canada Falls Lake, Maine",45.8739,-69.995,01020001,EST,84.9,cfs,"2021-02-12 14:30:00",3.21,ft,"2021-02-12 14:30:00",0,0,,,https://waterdata.usgs.gov/monitoring-location/01027240
01029200,"Seboeis River near Shin Pond, Maine",46.1431,-68.6336,01020002,EST,Ice,cfs,"2021-02-12 14:00:00",5.63,ft,"2021-02-12 14:00:00",0,85.54,209.26,164.02,https://waterdata.usgs.gov/monitoring-location/01029200
01029500,"East Branch Penobscot River at Grindstone, Maine",45.7303,-68.5894,01020002,EST,Ice,cfs,"2021-02-12 14:30:00",4.9,ft,"2021-02-12 14:30:00",0,32.69,73.82,64.51,https://waterdata.usgs.gov/monitoring-location/01029500
01030350,"Wytopitlock Stream near Wytopitlock Maine",45.7086,-68.1581,01020003,EST,Ice,cfs,"2021-02-12 14:15:00",2.94,ft,"2021-02-12 14:15:00",0,49.51,97.3,97.52,https://waterdata.usgs.gov/monitoring-location/01030350
01030500,"Mattawamkeag River near Mattawamkeag, Maine",45.5011,-68.3058,01020003,EST,Ice,cfs,"2021-02-12 14:15:00",6.04,ft,"2021-02-12 14:15:00",0,66.17,143.59,89.2,https://waterdata.usgs.gov/monitoring-location/01030500
01031300,"Piscataquis River at Blanchard, Maine",45.2672,-69.5839,01020004,EST,Ice,cfs,"2021-02-12 14:30:00",4.15,ft,"2021-02-12 14:30:00",0,46.42,90.76,86.84,https://waterdata.usgs.gov/monitoring-location/01031300
01031450,"Kingsbury Stream at Abbot Village, Maine",45.1844,-69.4522,01020004,EST,Ice,cfs,"2021-02-12 14:30:00",6.01,ft,"2021-02-12 14:30:00",0,13.59,51.52,38.74,https://waterdata.usgs.gov/monitoring-location/01031450
01031500,"Piscataquis River near Dover-Foxcroft, Maine",45.175,-69.3147,01020004,EST,Ice,cfs,"2021-02-12 14:30:00",2.39,ft,"2021-02-12 14:30:00",0,53.67,105,61.47,https://waterdata.usgs.gov/monitoring-location/01031500
01031510,"Black Stream near Dover-Foxcroft, Maine",45.1503,-69.2364,01020004,EST,Ice,cfs,"2021-02-12 14:30:00",2.96,ft,"2021-02-12 14:30:00",0,25.93,74.06,71.34,https://waterdata.usgs.gov/monitoring-location/01031510
01034000,"Piscataquis River at Medford, Maine",45.2606,-68.8686,01020004,EST,Ice,cfs,"2021-02-12 14:15:00",3.11,ft,"2021-02-12 14:15:00",0,72.64,132.68,99.47,https://waterdata.usgs.gov/monitoring-location/01034000
01034500,"Penobscot River at West Enfield, Maine",45.2361,-68.6514,01020005,EST,Ice,cfs,"2021-02-12 14:30:00",3.51,ft,"2021-02-12 14:30:00",0,63.21,111.52,97.71,https://waterdata.usgs.gov/monitoring-location/01034500
01036390,"Penobscot River at Eddington, Maine",44.8267,-68.6967,01020005,EST,0,,"0000-00-00 00:00:00",3.92,ft,"2021-02-12 14:30:00",0,0,,,https://waterdata.usgs.gov/monitoring-location/01036390
01037000,"Kenduskeag Stream near Bangor, Maine",44.8611,-68.8317,01020005,EST,Ice,cfs,"2021-02-12 14:15:00",3.65,ft,"2021-02-12 14:15:00",0,35.97,78.77,76.33,https://waterdata.usgs.gov/monitoring-location/01037000
01037050,"Penobscot River at Bangor, Maine",44.7964,-68.7678,01020005,EST,0,,"0000-00-00 00:00:00",3.58,ft,"2021-02-12 14:06:00",0,0,,,https://waterdata.usgs.gov/monitoring-location/01037050
01037380,"Ducktrap River near Lincolnville, Maine",44.3292,-69.0608,01050002,EST,Ice,cfs,"2021-02-12 14:15:00",2.05,ft,"2021-02-12 14:15:00",0,38.05,82.88,60.62,https://waterdata.usgs.gov/monitoring-location/01037380
01038000,"Sheepscot River at North Whitefield, Maine",44.2228,-69.5939,01050003,EST,Ice,cfs,"2021-02-12 14:45:00",2.56,ft,"2021-02-12 14:45:00",0,34.62,76.88,49.42,https://waterdata.usgs.gov/monitoring-location/01038000
01042500,"Kennebec River at The Forks, Maine",45.3397,-69.9619,01030002,EST,3770,cfs,"2021-02-12 14:15:00",4.24,ft,"2021-02-12 14:15:00",6,82.79,137.59,138.85,https://waterdata.usgs.gov/monitoring-location/01042500
01043500,"Dead River near Dead River, Maine",45.229,-70.2011,01030002,EST,379,cfs,"2021-02-12 14:30:00",3.79,ft,"2021-02-12 14:30:00",5,44.89,86.14,58.59,https://waterdata.usgs.gov/monitoring-location/01043500
01044550,"Spencer Stream near Grand Falls, Maine",45.3136,-70.2417,01030002,EST,Ice,cfs,"2021-02-12 14:00:00",3.31,ft,"2021-02-12 14:00:00",0,89.35,234.48,205.33,https://waterdata.usgs.gov/monitoring-location/01044550
01046000,"Austin Stream at Bingham, Maine",45.0644,-69.8806,01030003,EST,Ice,cfs,"2021-02-12 14:30:00",4.47,ft,"2021-02-12 14:30:00",0,58.83,115.32,72.2,https://waterdata.usgs.gov/monitoring-location/01046000
01046500,"Kennebec River at Bingham, Maine",45.0519,-69.8856,01030003,EST,4050,cfs,"2021-02-12 14:15:00",7.96,ft,"2021-02-12 14:15:00",5,52.54,101.76,98.36,https://waterdata.usgs.gov/monitoring-location/01046500
01047000,"Carrabassett River near North Anson, Maine",44.8692,-69.955,01030003,EST,Ice,cfs,"2021-02-12 14:00:00",3.9,ft,"2021-02-12 14:00:00",0,83.33,187.72,106.72,https://waterdata.usgs.gov/monitoring-location/01047000
01047150,"Kennebec River near Madison, Maine",44.7789,-69.8869,01030003,EST,Ice,cfs,"2021-02-12 14:45:00",4.59,ft,"2021-02-12 14:45:00",0,11.8,80.3,79.15,https://waterdata.usgs.gov/monitoring-location/01047150
01047200,"Sandy River near Madrid, Maine",44.8578,-70.4853,01030003,EST,Ice,cfs,"2021-02-12 14:00:00",9.5,ft,"2021-02-12 14:00:00",0,58.38,107.04,84.01,https://waterdata.usgs.gov/monitoring-location/01047200
01048000,"Sandy River near Mercer, Maine",44.7081,-69.9375,01030003,EST,Ice,cfs,"2021-02-12 14:00:00",3.94,ft,"2021-02-12 14:00:00",0,77.89,163.09,100.29,https://waterdata.usgs.gov/monitoring-location/01048000
01048220,"East Branch Wesserunsett Stream near Athens, Maine",44.9475,-69.6569,01030003,EST,Ice,cfs,"2021-02-12 14:00:00",2.7,ft,"2021-02-12 14:00:00",0,21.34,65.9,64.66,https://waterdata.usgs.gov/monitoring-location/01048220
